_id,timestamp,latency,bandwidthDown,bandwidthUp,latitude,longitude
1,2024-11-12T21:42:38.489107,358.0,,,42.29146889543105,-83.7184334848798
2,2024-11-12T21:42:39.439246,310.0,,,42.29146889543105,-83.7184334848798
3,2024-11-12T21:42:40.401556,272.0,,,42.29146889543105,-83.7184334848798
4,2024-11-12T21:42:41.687574,557.0,,,42.29146889543105,-83.7184334848798
5,2024-11-12T21:42:42.641220,510.0,,,42.29146889543105,-83.7184334848798
6,2024-11-12T21:42:43.602032,471.0,,,42.29146889543105,-83.7184334848798
7,2024-11-12T21:42:44.554131,425.0,,,42.29146889543105,-83.7184334848798
8,2024-11-12T21:42:45.519383,389.0,,,42.29138091913385,-83.71843859880636
9,2024-11-12T21:42:46.477470,348.0,,,42.29140051851447,-83.71853603381282
10,2024-11-12T21:42:47.435067,308.0,,,42.29134962425075,-83.71856663023898
11,2024-11-12T21:42:48.409624,283.0,,,42.29127920234932,-83.71858380008142
12,2024-11-12T21:42:49.676441,546.0,,,42.291180442280194,-83.7185522512663
13,2024-11-12T21:42:50.639514,510.0,,,42.29109202023408,-83.71852206047163
14,2024-11-12T21:42:51.601018,471.0,,,42.291001812922666,-83.71851431842623
15,2024-11-12T21:42:52.559999,430.0,,,42.29089768922284,-83.71851004432085
16,2024-11-12T21:42:53.439482,307.0,,,42.290792117216924,-83.7185094117399
17,2024-11-12T21:42:54.372460,247.0,,,42.290701265091265,-83.71850639254205
18,2024-11-12T21:42:55.442864,313.0,,,42.29062854722411,-83.71850032025898
19,2024-11-12T21:42:56.403245,274.0,,,42.29056740259369,-83.71850281669155
20,2024-11-12T21:42:57.681086,552.0,,,42.29049162901953,-83.71850101900968
21,2024-11-12T21:42:58.638781,511.0,,,42.290466087806415,-83.71850892335216
22,2024-11-12T21:42:59.596389,466.0,,,42.29044037948072,-83.71851566158892
23,2024-11-12T21:43:00.559587,429.0,,,42.290438018802234,-83.71851953137822
24,2024-11-12T21:43:01.842029,713.0,,,42.290411740391974,-83.71850802821997
25,2024-11-12T21:43:02.800467,671.0,,,42.29036629668226,-83.71849907645222
26,2024-11-12T21:43:03.441006,312.0,,,42.29029540361239,-83.71847741179576
27,2024-11-12T21:43:04.729680,599.0,,,42.290243353951595,-83.7184309347332
28,2024-11-12T21:43:05.678497,549.0,,,42.290201574677916,-83.71831877983885
29,2024-11-12T21:43:06.638135,511.0,,,42.29019813322906,-83.71819354715304
30,2024-11-12T21:43:07.599769,470.0,,,42.2902002077251,-83.71805885210071
31,2024-11-12T21:43:08.874166,747.0,,,42.290228731427234,-83.71789726608559
32,2024-11-12T21:43:09.520752,389.0,,,42.29023914808538,-83.71774600346295
33,2024-11-12T21:43:10.480890,351.0,,,42.290238382192825,-83.71757662733333
34,2024-11-12T21:43:11.758656,627.0,,,42.29023777724047,-83.7174046896166
35,2024-11-12T21:43:12.399054,269.0,,,42.290241422129974,-83.71722635449402
36,2024-11-12T21:43:13.680994,551.0,,,42.290245688158564,-83.71705060011304
37,2024-11-12T21:43:14.640964,512.0,,,42.29024785666285,-83.71687560709664
38,2024-11-12T21:43:15.602608,473.0,,,42.29024935124492,-83.71670304641722
39,2024-11-12T21:43:16.559998,430.0,,,42.290250011012745,-83.7165347038874
40,2024-11-12T21:43:17.520616,391.0,,,42.290249713318005,-83.71637628359828
41,2024-11-12T21:43:18.500404,370.0,,,42.290248110696666,-83.71621188093376
42,2024-11-12T21:43:19.483002,353.0,,,42.2902465093466,-83.71604187946967
43,2024-11-12T21:43:20.426092,296.0,,,42.29024585755863,-83.71587124202486
44,2024-11-12T21:43:21.358264,230.0,,,42.29024746272329,-83.71570205739086
45,2024-11-12T21:43:22.643481,514.0,,,42.2902498945958,-83.7155337721447
46,2024-11-12T21:43:23.599151,470.0,,,42.2902492721227,-83.71536490472496
47,2024-11-12T21:43:24.568599,439.0,,,42.290248621140336,-83.71519974676953
48,2024-11-12T21:43:25.558157,429.0,,,42.29024990824701,-83.7150369432434
49,2024-11-12T21:43:26.542762,417.0,,,42.29024902404835,-83.71487689060525
50,2024-11-12T21:43:27.508375,379.0,,,42.290249831361486,-83.71471494427182
51,2024-11-12T21:43:28.467932,339.0,,,42.29024884601785,-83.71455133256468
52,2024-11-12T21:43:29.427952,299.0,,,42.29025106154749,-83.71439665243703
53,2024-11-12T21:43:30.707893,580.0,,,42.290251220229564,-83.71424385237155
54,2024-11-12T21:43:31.670441,541.0,,,42.290252253576355,-83.71410063258756
55,2024-11-12T21:43:32.628465,499.0,,,42.29025105190822,-83.71396312994891
56,2024-11-12T21:43:33.588831,459.0,,,42.29024870717624,-83.7138129655674
57,2024-11-12T21:43:34.549372,420.0,,,42.29024836276678,-83.71366461046615
58,2024-11-12T21:43:35.509203,380.0,,,42.29024985327655,-83.71352118411325
59,2024-11-12T21:43:36.467523,338.0,,,42.290253247385536,-83.71338725576169
60,2024-11-12T21:43:37.437030,308.0,,,42.29026625834583,-83.71326873061128
61,2024-11-12T21:43:38.710854,582.0,,,42.29028133680861,-83.71318375406312
62,2024-11-12T21:43:39.599618,464.0,,,42.29028887432875,-83.71313145235071
63,2024-11-12T21:43:40.560953,431.0,,,42.290291825074185,-83.71310881524774
64,2024-11-12T21:43:41.842147,712.0,,,42.290295345306774,-83.71307269186116
65,2024-11-12T21:43:42.801542,671.0,,,42.29030543670145,-83.71299158602253
66,2024-11-12T21:43:43.757246,628.0,,,42.29032001136613,-83.7128654522517
67,2024-11-12T21:43:44.395106,267.0,,,42.29033527188477,-83.71272137141192
